ID,Status,base_setup,base_question,flip_question,flip_change,pic_base,pic_flip,indoor_outdoor,id,gpt_I0q0_json,gpt_I0q1_json,gpt_I1q0_json,gpt_I1q1_json
GD-04,Done,Sunglasses hide eyes.,Are his eyes and gaze direction clearly visible in this photo?,Is his gaze direction not visible in this photo (eyes hidden/obscured)?,remove sunglasses or add transparent ones so gaze direction is clear,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0431.JPG,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0432.JPG,indoor,GD-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
GD-05,Done,He is looking sideways.,Is the snowman clearly within his line of sight in this photo?,Is the snowman clearly outside his line of sight in this photo?,Flip would have him face the snowman directly.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0625.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0626.jpeg,outdoor,GD-05,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-06,Done,Student facing roommate instead of laptop.,Is he clearly looking at the laptop screen?,Is he clearly not looking at the laptop screen?,turn his head and eyes toward the laptop screen while keeping her body position the same,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0976.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0983.jpeg,indoor,GD-06,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-07,Done,Bananas behind him.,Can he clearly see the bananas from where he is (in his forward view)?,Can he clearly not see the bananas from where he is?,turn his head and eyes around so he is clearly facing the banana stand,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0636.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0637.jpeg,indoor,GD-07,"{""label"":""ABSTAIN"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-08,Done,Looking down; sign overhead.,Can he clearly see the aisle sign from where he is (in his view)?,Can he clearly not see the aisle sign from where he is?,raise his head and eyes so he is clearly looking up at the aisle sign,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0630.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0631.jpeg,indoor,GD-08,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.8}"
GD-09,Done,Bottle behind monitor; he looks away.,Is the water bottle clearly visible to him (in his view)?,Is the water bottle clearly not visible to him (out of his view)?,Turn head/eyes toward water bottle; keep scene identical,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0986.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0989.jpeg,indoor,GD-09,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.92}"
GD-10,Done,He is turned toward friend.,Is he clearly looking at the open washer?,Is he clearly looking away from the open washer?,turn his head toward the washer,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1090.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1091.jpeg,indoor,GD-10,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
GD-11,Done,Gaze unclear.,Is he clearly looking at his shoes (eyes directed down at them)?,Is he clearly not looking at his shoes?,Capture him clearly tilting his head down with eyes obviously directed at his shoes,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0901.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0898.jpeg,outdoor,GD-11,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-12,Done,Head and eyes misaligned.,Is he clearly looking at the plant?,Is he clearly not looking at the plant?,Capture him with head and eyes clearly turned toward the plant,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0904.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0903.jpeg,outdoor,GD-12,"{""label"":""ABSTAIN"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.8}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}"
GD-13,Done,Gaze ambiguous.,Is he clearly looking at his phone screen?,Is he clearly not looking at his phone?,Capture him clearly looking down at the phone screen with visible eye direction toward it,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_5809.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_5807.jpeg,outdoor,GD-13,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
GD-14,Done,Head and eyes not aligned.,Is he clearly looking at the whiteboard content?,Is he clearly not looking at the whiteboard?,Turn his head and eyes clearly toward the writing on the board.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1004.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1008.jpeg,indoor,GD-14,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.85}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-15,Done,Student turned away.,Is he clearly looking at the dryer display?,Is he clearly not looking at the dryer display?,keep his body in place but turn his head and eyes toward the dryer so he is clearly looking at the display,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1093.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1094.jpeg,indoor,GD-15,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-16,Done,Eyes not clearly on the page.,Is he clearly looking at his notebook page?,Is he clearly not looking at his notebook?,Keep the position but have him clearly look down at the notebook page.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1020.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1016.jpeg,indoor,GD-16,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
GD-17,Done,Gaze slightly off.,Is he clearly looking at the TV screen?,Is he clearly not looking at the TV screen?,Have him face the TV directly with eyes clearly aligned to the screen.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1011.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1014.jpeg,indoor,GD-17,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-18,Done,Cat looking toward window.,Is the cat clearly looking towards the camera?,Is the cat clearly looking away from the camera?,keep the cat in the same spot but capture a moment when it is looking straight toward the camera lens so its pupils are clearly directed at the viewer,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_7812.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_7851.jpeg,indoor,GD-18,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
GD-19,Done,Girl looking away.,Is she clearly reading the book (eyes on the page)?,Is she clearly not reading the book?,She looks at the book.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0994.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0993.jpeg,indoor,GD-19,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-20,Done,Facing hallway.,Is he clearly looking out the window (eyes directed outside)?,Is he clearly not looking out the window?,He looks outside the window.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1026.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1028.jpeg,indoor,GD-20,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
IC-01,Done,Many similar bottles; none marked.,Is the moisturising lotion uniquely identifiable in this photo?,Is the moisturising lotion not uniquely identifiable in this photo?,place moisturiser in view,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0271.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0270.jpeg,indoor,IC-01,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
IC-02,Done,Only legs and shoes shown.,Is it visually clear that the person is about to leave the house?,Is it visually clear that the person is not about to leave the house?,Take the same photo but with the shoes on.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1113.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1114.jpeg,indoor,IC-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.9}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.8}"
IC-03,Done,Many similar shoes with no cues.,Can you uniquely identify which pair of shoes is his from this photo?,Is it not possible to identify which shoes are his from this photo?,He stands wearing one pair of the shoes.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1132.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1133.jpeg,indoor,IC-03,"{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
IC-04,Done,Dog looking elsewhere.,Is the dog clearly looking at the owner?,Is the dog clearly not looking at the owner?,dog looks at the owner,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8013.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8019.jpeg,outdoor,IC-04,"{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.85}","{""label"":""NOT_VISIBLE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
IC-05,Done,Identical mailboxes with no marker.,Is the correct mailbox clearly identifiable in this photo?,Is the correct mailbox not identifiable in this photo?,Place your keys inside the right mailbox so it becomes clearly identifiable which one is meant by “right.”,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1115.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1116.jpeg,outdoor,IC-05,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
IC-06,Done,Posture unclear.,Is it visually clear that the person is working (actively doing work)?,Is it visually clear that the person is not working?,"Add clear studying cues such as typing, notes open, or focused posture.",/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1123.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1124.jpeg,indoor,IC-06,"{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.8}","{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.9}","{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
IC-07,Done,Chairs identical; no marking.,Is the reserved seat clearly indicated in this photo?,Is the reserved seat not indicated in this photo?,put a name tag on his umbrella or add an arrow pointing to it,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0973.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0974.jpeg,indoor,IC-07,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}"
LD-01,Done,Spice cabinet in very dark kitchen; labels not readable,Are the spice labels clearly readable in this photo?,Are the spice labels unreadable in this photo (too dark)?,Turn on lights so the spice labels are clearly readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0287.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0288.jpeg,indoor,LD-01,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-02,Done,Outdoor sign with glare.,Is the sign text clearly readable in this photo?,Is the sign text unreadable in this photo?,Move closer or adjust angle so the text becomes clearly readable.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1121.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1122.jpeg,outdoor,LD-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-03,Done,Distant and dim.,Is the street sign text clearly readable in this photo?,Is the street sign unreadable in this photo?,change angle to avoid glare,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0418.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0420.jpeg,outdoor,LD-03,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-04,Done,Night street scene; building signs poorly lit,Is the street sign text clearly readable in this dark scene?,Is the street sign text unreadable in this photo (too dark)?,Street signs are visible but dimly lit at night,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0296.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0297.jpeg,outdoor,LD-04,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
LD-05,Done,Package on floor near door; label facing away or hard to read,Is the package label text clearly readable in this photo?,Is the package label text unreadable in this photo?,Reposition package so the label text is clearly readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0435.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0436.jpeg,indoor,LD-05,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
LD-06,Done,Crosswalk with countdown timer visible at a distance,Is the crosswalk countdown number clearly readable in this photo?,Is the crosswalk countdown number unreadable in this photo?,Move closer or zoom so the countdown number is readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0638.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0639.jpeg,outdoor,LD-06,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-07,Done,Bus stop with route information sign,Is the bus route/number clearly readable in this photo?,Is the bus route/number unreadable in this photo?,Move closer so the bus route number and text are clearly readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0650.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0644.jpeg,outdoor,LD-07,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
