id,Status,base_label,base_question,base_setup,category,flip_change,flip_label,hardness,indoor_outdoor,pic_base,pic_flip,gpt_output_base,gpt_output_flip,location,target,gpt_score
LD-09,Done,NOT_VISIBLE,Is the protein powder container label readable,room is dark,LIGHTING_DISTANCE,turn on bedside lamp,VISIBLE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0661.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0662.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}",bedroom shelf,book title,
NV-01,Done,NOT_VISIBLE,What is inside the box,box is closed,INHERENTLY_NONVISUAL,open the box to show object,VISIBLE,printed product photo misleads,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0268.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0269.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",sealed box,contents,
NV-02,Done,NOT_VISIBLE,Is the laptop in the bag,zippered bag,INHERENTLY_NONVISUAL,open bag clearly,VISIBLE,"bag sealed, ambiguous shape",indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0284.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0285.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",backpack,laptop,
NV-03,Done,NOT_VISIBLE,What files are on the drive,drive only visible,INHERENTLY_NONVISUAL,show nearby screen with file list,VISIBLE,tempts guesses,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0278.jpeg, '/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0279.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.94}",flash drive,file names,
NV-04,Done,NOT_VISIBLE,What is the wifi password,no note shown,INHERENTLY_NONVISUAL,add note with password,VISIBLE,unrelated visible text nearby,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0289.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0290.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",desk,wifi password,
NV-05,Done,NOT_VISIBLE,What flavour is the drink,bottle with lid on side table; no label/menu indicating flavor,INHERENTLY_NONVISUAL,place a visible label “Orange” on the cup,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0439.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0439 (1).jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",lounge,drink flavor,
NV-06,Done,UNDETERMINABLE_FROM_EVIDENCE,What flavor is the juice?,Juice container is visible but flavor is not inferable from appearance alone.,INHERENTLY_NONVISUAL,No flip; property itself is nonvisual.,UNDETERMINABLE_FROM_EVIDENCE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0632.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0633.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}",store,juice flavor,
OC-01,Done,NOT_VISIBLE,Is the spice bottle visible,bottle fully behind other fridge items,OCCLUSION,slide box 10 cm so bottle peeks out,VISIBLE,similar jars and labels nearby,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0258.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0259.jpeg',"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.94}",kitchen shelf,spice jar,
OC-02,Done,NOT_VISIBLE,Is the kitchen knife visible,knife under utensils,OCCLUSION,expose part of knife,VISIBLE,similar metal parts blend in,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0275.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0276.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}",kitchen,kitchen knife,
OC-03,Done,NOT_VISIBLE,Is the bottle of honey visible,honey behind opaque box and containers,OCCLUSION,move box to the side,VISIBLE,honey partially covered by smaller containers,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0272.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0273.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.92}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}",pantry,can,
OC-04,Done,NOT_VISIBLE,Is the remote visible,remote under cushion,OCCLUSION,lift cushion so 30 percent shows,VISIBLE,very small remote,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0260.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0262.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.97}",bed,remote,
OC-05,Done,NOT_VISIBLE,is the passport in the drawer,passport partly covered by papers inside an open wooden drawer,OCCLUSION,slide the papers to expose the passport ,VISIBLE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0282.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0283.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""OCCLUSION"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",study desk,passport,
OC-06,Done,NOT_VISIBLE,Is the top of the arch visible,arch in wsp top hidden by trees,OCCLUSION,move forward so tree leaves are less blocking,VISIBLE,"partial occlusion, similar tones",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0391.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0392.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.94}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}",wsp,arch top,
OC-07,Done,NOT_VISIBLE,Is the chessboard visible,man covering chessboard with himself and belongings,OCCLUSION,change angle and position of camera and him,VISIBLE,many similar patterns and shadows,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0414.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0415.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",wsp,chessboard,
OC-08,Done,NOT_VISIBLE,Is the music source visible,speaker playing but behind chair,OCCLUSION,rotate camera,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0433.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0434.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}",living room,speaker,
OC-09,Done,UNDETERMINABLE_FROM_EVIDENCE,Is the product inside the box behind transparent plastic visible?,Product box is behind reflective plastic angled away from the viewer.,OCCLUSION,No flip; glass angle controls visibility.,UNDETERMINABLE_FROM_EVIDENCE,hard,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0627.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0628.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}",store,product inside glass box,
OC-12,Done,NOT_VISIBLE,Is the toothbrush visible?,Toothbrush inside a mirror cupboard above sink,OCCLUSION,Open cupboard,VISIBLE,hard,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0665.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0666.jpeg',"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",bathroom,toothbrush,
OC-13,Done,NOT_VISIBLE,Is the room number visible,decor poster taped across plaque,OCCLUSION,lift poster edge to reveal number,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0670.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0669.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",dorm hallway,room plaque,
OF-01,Done,NOT_VISIBLE,Is the menu board visible,board on the side,OUT_OF_FRAME,tilt sideways to include board,VISIBLE,reflections in glass doors,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0616.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0617.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.76}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",cafe exterior,menu board,
OF-02,Done,NOT_VISIBLE,can you see the metrocard reader,reader is on the side out of frame,OUT_OF_FRAME,bring reader into frame,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0620.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0621.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}",subway entrance,metrocard reader,
OF-03,Done,NOT_VISIBLE,is the bike visible,camera faces dorm doorway; rack is to the side off-frame,OUT_OF_FRAME,pan left to include rack,VISIBLE,medium,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0389.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0390.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}",outside dorm entrance,bike rack,
OF-04,Done,NOT_VISIBLE,Is the phone charger visible,charger on side of table partiall hidden,OUT_OF_FRAME,reframe to include it,VISIBLE,visible cables elsewhere confuse,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0265.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0266.jpeg',"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.94}",living room,charger,
OF-05,Done,NOT_VISIBLE,Is the mug visible,mug just right of frame edge,OUT_OF_FRAME,nudge mug 5 cm into frame,VISIBLE,other mugs in frame as lures,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0263.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0264.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",kitchen counter,mug,
OF-06,Done,NOT_VISIBLE,What colour is the horse,horse not in frame,OUT_OF_FRAME,horse in frame,VISIBLE,similar background colors,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0403.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0404.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",wsp,horse,
OF-07,Done,NOT_VISIBLE,Is the printer visible,printer to the side,OUT_OF_FRAME,rotate to see it,VISIBLE,printer troubles' sign,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0437.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0438.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",office doorway,printer,
OF-08,Done,NOT_VISIBLE,Is the pool table visible,pool table out of frame,OUT_OF_FRAME,move rack slightly aside,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0445.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0446.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",lounge,pool table,
OF-09,Done,NOT_VISIBLE,Is the 8 ball visible,the table is in frame but the 8 ball is not present anywhere in the photo,OUT_OF_FRAME,add the 8 ball into the frame so it’s clearly visible,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0442.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0444.jpeg',"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",lounge,8 ball,
OF-10,Done,NOT_VISIBLE,Is the cue tip visible,cue partially cut by frame edge,OUT_OF_FRAME,shift frame right,VISIBLE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0440.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0441.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",lounge,cue tip,
OF-11,Done,UNDETERMINABLE_FROM_EVIDENCE,Can he see the aisle sign from here?,Aisle sign is high above and partially cut by viewing angle.,OUT_OF_FRAME,He looks up,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0630.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0631.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}","{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}",store,aisle sign,
OF-12,Done,NOT_VISIBLE,Can he see the bananas?,He is turned away; bananas are behind him.,OUT_OF_FRAME,Flip would have him face the bananas.,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0636.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0637.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.97}","{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.97}",store,bananas,
OF-13,Done,NOT_VISIBLE,is the laundry basket visible,wide shot of room includes machines only,OUT_OF_FRAME,reframe to include it,VISIBLE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0673.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0674.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",laundry room,laundry basket,
OF-14,Done,NOT_VISIBLE,is the ac unit visible,camera framed on skyline; unit sits below parapet,OUT_OF_FRAME,raise angle to include parapet top,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0663.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0664.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",dorm room,AC unit,
OF-15,Done,NOT_VISIBLE,Is the bin visible,camera faces recycling room; bin around corner,OUT_OF_FRAME,pan left to include chute door,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0667.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0668.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",dorm hallway,bin,
AV-03,Done,NOT_VISIBLE,Is the fine-print ingredients list readable?,food container; the lowest line of micro-text is too small to resolve,AUGMENTED_VISION_REQUIRED,move the camera closer until the text is large enough,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0682.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0683.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""AUGMENTED_VISION_REQUIRED"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",kitchen,food container,
AV-07,Done,NOT_VISIBLE,Is the fine-print on the lotion bottle readable?,bathroom counter; bottle is across the room and the ingredient list is very small,AUGMENTED_VISION_REQUIRED,bring the camera close or zoom in so the micro-text becomes legible,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0684.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0685.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""AUGMENTED_VISION_REQUIRED"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}",kitchen,lotion bottle,
