id,Status,base_label,base_question,base_setup,category,flip_change,flip_label,hardness,indoor_outdoor,pic_base,pic_flip,gpt_output_base,gpt_output_flip,location,target,gpt_score,gpt_base_json,gpt_flip_json
IC-02,Done,UNDETERMINABLE,What is the value of this giftcard,card doesn’t show,INSUFFICIENT_CONTEXT,show corner with money value,VISIBLE,doesn’t show value,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0280.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0281.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",gift card,value,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
IC-04,Done,UNDETERMINABLE_FROM_EVIDENCE,Is the dog looking at the owner,dog looking somewhere,INSUFFICIENT_CONTEXT,dog looks at the owner,VISIBLE,"ambiguous angle, owner off-frame",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8013.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8019.jpeg,"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",wsp,dog-owner pair,,"{""label"":""UNDERTMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-01,Done,NOT_VISIBLE,Are the spice labels readable,room is dark,LIGHTING_DISTANCE,turn on light,VISIBLE,specular highlights look like text,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0287.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0288.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.91}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}",kitchen window,spice labels,,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
LD-02,Done,NOT_VISIBLE,Is the phone screen visible,"phone screen reflecting in the sun and far, hard to see through glare",LIGHTING_DISTANCE,move closer so less glare,VISIBLE,"bright reflections, low contrast",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0416.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0417.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.92}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",wsp,phone screen,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-03,Done,NOT_VISIBLE,What is the time,clock is reflecting glare,LIGHTING_DISTANCE,change angle to avoid glare,VISIBLE,glass reflection and small numerals,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0418.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0420.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",union square,clock,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-04,Done,NOT_VISIBLE,Is the street sign readable,distant and dim,LIGHTING_DISTANCE,move camera 5 to 8 m closer,VISIBLE,bright points mislead,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0296.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0297.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",night street,street sign,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
LD-05,Done,NOT_VISIBLE,is the package text readable,package on the floor; label at distance ~6m; small print,LIGHTING_DISTANCE,move 2m closer to reduce distance,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0435.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0436.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.92}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",mailroom,shipping label,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-06,Done,UNDETERMINABLE_FROM_EVIDENCE,What number is on the crosswalk countdown,Far distance: number too small.,LIGHTING_DISTANCE,Zoom-in version clarifies the number.,VISIBLE,medium,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0638.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0639.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}",street intersection,crosswalk number,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}"
LD-07,Done,UNDETERMINABLE_FROM_EVIDENCE,What is the bus number?,Bus is far + side angle making number partially unreadable.,LIGHTING_DISTANCE,Bus is closer,UNDETERMINABLE_FROM_EVIDENCE,hard,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0650.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0644.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}",bus stop,bus number,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-09,Done,NOT_VISIBLE,Is the protein powder container label readable,room is dark,LIGHTING_DISTANCE,turn on bedside lamp,VISIBLE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0661.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0662.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}",bedroom shelf,book title,,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-01,Done,NOT_VISIBLE,What is inside the box,box is closed,INHERENTLY_NONVISUAL,open the box to show object,VISIBLE,printed product photo misleads,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0268.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0269.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",sealed box,contents,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-02,Done,NOT_VISIBLE,Is the laptop in the bag,zippered bag,INHERENTLY_NONVISUAL,open bag clearly,VISIBLE,"bag sealed, ambiguous shape",indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0284.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0285.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",backpack,laptop,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-03,Done,NOT_VISIBLE,What files are on the drive,drive only visible,INHERENTLY_NONVISUAL,show nearby screen with file list,VISIBLE,tempts guesses,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0278.jpeg, '/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0279.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.94}",flash drive,file names,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
NV-04,Done,NOT_VISIBLE,What is the wifi password,no note shown,INHERENTLY_NONVISUAL,add note with password,VISIBLE,unrelated visible text nearby,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0289.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0290.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",desk,wifi password,,"{""label"":""NOT_VISIBLE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-05,Done,NOT_VISIBLE,What flavour is the drink,bottle with lid on side table; no label/menu indicating flavor,INHERENTLY_NONVISUAL,place a visible label “Orange” on the cup,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0439.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0439 (1).jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",lounge,drink flavor,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}"
NV-06,Done,UNDETERMINABLE_FROM_EVIDENCE,What flavor is the juice?,Juice container is visible but flavor is not inferable from appearance alone.,INHERENTLY_NONVISUAL,No flip; property itself is nonvisual.,UNDETERMINABLE_FROM_EVIDENCE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0632.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0633.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}",store,juice flavor,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-10,Done,NOT_VISIBLE,What is the locker combination,locker shown but no lock,INHERENTLY_NONVISUAL,add lock,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0694.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0693.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""AUGMENTED_VISION_REQUIRED"",""confidence"":0.99}","{""label"":""NOT_VISIBLE"",""reason_code"":""AUGMENTED_VISION_REQUIRED"",""confidence"":0.99}",gym,locker combo,,,
OC-01,Done,NOT_VISIBLE,Is the spice bottle visible,bottle fully behind other fridge items,OCCLUSION,slide box 10 cm so bottle peeks out,VISIBLE,similar jars and labels nearby,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0258.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0259.jpeg',"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.94}",kitchen shelf,spice jar,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-02,Done,NOT_VISIBLE,Is the kitchen knife visible,knife under utensils,OCCLUSION,expose part of knife,VISIBLE,similar metal parts blend in,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0275.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0276.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}",kitchen,kitchen knife,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-03,Done,NOT_VISIBLE,Is the bottle of honey visible,honey behind opaque box and containers,OCCLUSION,move box to the side,VISIBLE,honey partially covered by smaller containers,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0272.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0273.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.92}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}",pantry,can,,"{""label"":""NOT_VISIBLE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-04,Done,NOT_VISIBLE,Is the remote visible,remote under cushion,OCCLUSION,lift cushion so 30 percent shows,VISIBLE,very small remote,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0260.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0262.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.97}",bed,remote,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-05,Done,NOT_VISIBLE,is the passport in the drawer,passport partly covered by papers inside an open wooden drawer,OCCLUSION,slide the papers to expose the passport ,VISIBLE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0282.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0283.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""OCCLUSION"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",study desk,passport,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-06,Done,NOT_VISIBLE,Is the top of the arch visible,arch in wsp top hidden by trees,OCCLUSION,move forward so tree leaves are less blocking,VISIBLE,"partial occlusion, similar tones",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0391.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0392.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.94}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}",wsp,arch top,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}"
OC-07,Done,NOT_VISIBLE,Is the chessboard visible,man covering chessboard with himself and belongings,OCCLUSION,change angle and position of camera and him,VISIBLE,many similar patterns and shadows,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0414.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0415.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",wsp,chessboard,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OC-08,Done,NOT_VISIBLE,Is the music source visible,speaker playing but behind chair,OCCLUSION,rotate camera,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0433.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0434.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}",living room,speaker,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}"
OC-09,Done,UNDETERMINABLE_FROM_EVIDENCE,Is the product inside the box behind transparent plastic visible?,Product box is behind reflective plastic angled away from the viewer.,OCCLUSION,No flip; glass angle controls visibility.,UNDETERMINABLE_FROM_EVIDENCE,hard,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0627.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0628.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}",store,product inside glass box,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-12,Done,NOT_VISIBLE,Is the toothbrush visible?,Toothbrush inside a mirror cupboard above sink,OCCLUSION,Open cupboard,VISIBLE,hard,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0665.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0666.jpeg',"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",bathroom,toothbrush,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}"
OC-13,Done,NOT_VISIBLE,Is the room number visible,decor poster taped across plaque,OCCLUSION,lift poster edge to reveal number,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0670.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0669.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",dorm hallway,room plaque,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OC-15,Done,NOT_VISIBLE,Is the microwave visible?,"shared dorm kitchen, bag in front of microwave",OCCLUSION,move bag ,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0678.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0679.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",kitchen,microwave,,,
OC-16,Done,NOT_VISIBLE,Is the food container visible in the closet?,dorm closet with door open; food container behind hanging coats,OCCLUSION,move coat away,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0680.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0681.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",closet,food container,,,
