ID,Status,base_setup,base_question,flip_question,flip_change,pic_base,pic_flip,indoor_outdoor,id,internvl3-8b_I0q0_json,internvl3-8b_I0q1_json,internvl3-8b_I1q0_json,internvl3-8b_I1q1_json
GD-06,Done,Student facing roommate instead of laptop.,Is he clearly looking at the laptop screen?,Is he clearly not looking at the laptop screen?,turn his head and eyes toward the laptop screen while keeping her body position the same,./Images/IMG_0976.jpeg,./Images/IMG_0983.jpeg,indoor,GD-06,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-07,Done,Bananas behind him.,Can he clearly see the bananas from where he is (in his forward view)?,Can he clearly not see the bananas from where he is?,turn his head and eyes around so he is clearly facing the banana stand,./Images/IMG_0636.jpeg,./Images/IMG_0637.jpeg,indoor,GD-07,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
GD-08,Done,Looking down; sign overhead.,Can he clearly see the aisle sign from where he is (in his view)?,Can he clearly not see the aisle sign from where he is?,raise his head and eyes so he is clearly looking up at the aisle sign,./Images/IMG_0630.jpeg,./Images/IMG_0631.jpeg,indoor,GD-08,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
GD-09,Done,Bottle behind monitor; he looks away.,Is the water bottle clearly visible to him (in his view)?,Is the water bottle clearly not visible to him (out of his view)?,Turn head/eyes toward water bottle; keep scene identical,./Images/IMG_0986.jpeg,./Images/IMG_0989.jpeg,indoor,GD-09,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-10,Done,He is turned toward friend.,Is he clearly looking at the open washer?,Is he clearly looking away from the open washer?,turn his head toward the washer,./Images/IMG_1090.jpeg,./Images/IMG_1091.jpeg,indoor,GD-10,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-11,Done,Gaze unclear.,Is he clearly looking at his shoes?,Is he clearly not looking at his shoes?,Capture him clearly tilting his head down with eyes obviously directed at his shoes,./Images/IMG_0901.jpeg,./Images/IMG_0898.jpeg,outdoor,GD-11,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-12,Done,Head and eyes misaligned.,Is he clearly looking at the plant?,Is he clearly not looking at the plant?,Capture him with head and eyes clearly turned toward the plant,./Images/IMG_0904.jpeg,./Images/IMG_0903.jpeg,outdoor,GD-12,"{""label"":""ABSTAIN"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.7}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-13,Done,Gaze ambiguous.,Is he clearly looking at his phone screen?,Is he clearly not looking at his phone?,Capture him clearly looking down at the phone screen with visible eye direction toward it,./Images/IMG_5809.jpeg,./Images/IMG_5807.jpeg,outdoor,GD-13,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-14,Done,Head and eyes not aligned.,Is he clearly looking at the whiteboard?,Is he clearly not looking at the whiteboard?,Turn his head and eyes clearly toward the writing on the board.,./Images/IMG_1004.jpeg,./Images/IMG_1008.jpeg,indoor,GD-14,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-15,Done,Student turned away.,Is he directly looking at the dryer display (top of the dryer)?,Is he not directly looking at the dryer display (top of the dryer)?,keep his body in place but turn his head and eyes toward the dryer so he is clearly looking at the display,./Images/IMG_1093.jpeg,./Images/IMG_1094.jpeg,indoor,GD-15,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-16,Done,Eyes not clearly on the page.,Is he clearly looking at his notebook page?,Is he clearly not looking at his notebook?,"Keep the position but have him clearly look down at the notebook page, instead of covering his eyes.",./Images/IMG_1020.jpeg,./Images/IMG_1016.jpeg,indoor,GD-16,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-17,Done,Gaze slightly off.,Is he clearly looking at the TV screen?,Is he clearly not looking at the TV screen?,Have him face the TV directly with eyes clearly aligned to the screen.,./Images/IMG_1011.jpeg,./Images/IMG_1014.jpeg,indoor,GD-17,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-18,Done,Cat looking toward window.,Is the cat clearly looking towards the camera?,Is the cat clearly looking away from the camera?,keep the cat in the same spot but capture a moment when it is looking straight toward the camera lens so its pupils are clearly directed at the viewer,./Images/IMG_7812.jpeg,./Images/IMG_7851.jpeg,indoor,GD-18,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-19,Done,Girl looking away.,Is she clearly actively reading the book (eyes on the page)?,Is she clearly not actively reading the book?,She looks at the book.,./Images/IMG_0994.jpeg,./Images/IMG_0993.jpeg,indoor,GD-19,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-20,Done,Facing hallway.,Is he clearly looking out the window?,Is he clearly not looking out the window?,He looks outside the window.,./Images/IMG_1026.jpeg,./Images/IMG_1028.jpeg,indoor,GD-20,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
IC-01,Done,Many similar bottles; none marked.,Is the moisturising lotion uniquely identifiable in this photo?,Is the moisturising lotion not uniquely identifiable in this photo?,place moisturiser in view,./Images/IMG_0271.jpeg,./Images/IMG_0270.jpeg,indoor,IC-01,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}"
IC-02,Done,Only legs and shoes shown.,Is it visually clear that the person is about to leave the house?,Is it visually clear that the person is not about to leave the house?,Take the same photo but with the shoes on.,./Images/IMG_1113.jpeg,./Images/IMG_1114.jpeg,indoor,IC-02,"{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.7}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.7}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
IC-03,Done,Many similar shoes with no cues.,Can you uniquely identify which pair of shoes is his from this photo?,Is it not possible to uniquely identify which shoes are his from this photo?,He stands wearing one pair of the shoes.,./Images/IMG_1132.jpeg,./Images/IMG_1133.jpeg,indoor,IC-03,"{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.6}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}"
IC-04,Done,Dog looking elsewhere.,Is the dog clearly looking directly at the owner?,Is the dog clearly not directly looking at the owner?,dog looks at the owner,./Images/IMG_8013.jpeg,./Images/IMG_8019.jpeg,outdoor,IC-04,"{""label"":""ABSTAIN"",""reason_code"":""OCCLUSION"",""confidence"":0.7}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""OCCLUSION"",""confidence"":0.7}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
IC-05,Done,Identical mailboxes with no marker.,Is his mailbox uniquely identifiable in this photo?,Is his mailbox not uniquely identifiable in this photo?,Place your keys inside the right mailbox so it becomes clearly identifiable which one is meant by “right.”,./Images/IMG_1115.jpeg,./Images/IMG_1116.jpeg,outdoor,IC-05,"{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.6}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}"
IC-06,Done,Posture unclear.,Is it visually clear that the person is typing?,Is it visually clear that the person is not typing?,Start typing.,./Images/IMG_1123.jpeg,./Images/IMG_1124.jpeg,indoor,IC-06,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
IC-07,Done,Chairs identical; no marking.,Is the reserved seat clearly indicated in this photo?,Is the reserved seat not indicated in this photo?,put a name tag on his umbrella or add an arrow pointing to it,./Images/IMG_0973.jpeg,./Images/IMG_0974.jpeg,indoor,IC-07,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
LD-01,Done,Phone screen reflecting glare.,Is the phone screen clearly visible (content not washed out by glare)?,Is the phone screen not visible due to glare/reflection?,turn on light,./Images/IMG_0416.jpeg,./Images/IMG_0417.jpeg,indoor,LD-01,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-02,Done,Outdoor sign with glare.,Is the sign text clearly readable in this photo?,Is the sign text unreadable in this photo?,Move closer or adjust angle so the text becomes clearly readable.,./Images/IMG_1119.jpeg,./Images/IMG_1120.jpeg,outdoor,LD-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-03,Done,Distant and dim.,Is the street sign text clearly readable in this photo?,Is the street sign unreadable in this photo?,move closer and change angle,./Images/IMG_0618.jpeg,./Images/IMG_0619.jpeg,outdoor,LD-03,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
LD-04,Done,Label far away; tiny print.,Is the package label text clearly readable in this photo?,Is the package label text unreadable in this photo?,move camera 5 to 8 m closer,./Images/IMG_0435.jpeg,./Images/IMG_0436.jpeg,outdoor,LD-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-05,Done,Far away; number too small.,Is the crosswalk countdown number clearly readable in this photo?,Is the crosswalk countdown number unreadable in this photo?,move 2m closer to reduce distance,./Images/IMG_0638.jpeg,./Images/IMG_0639.jpeg,indoor,LD-05,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
LD-06,Done,Bus far and angled.,Is the bus route/number clearly readable in this photo?,Is the bus route/number unreadable in this photo?,move closer to the crosswalk so the countdown display is large enough to read,./Images/IMG_0650.jpeg,./Images/IMG_0644.jpeg,outdoor,LD-06,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
LD-07,Done,light off protein powder inside cupboard,Is the protein powder inside of the cupboard visible?,Is the protein powder inside of the cupboard not visible?,turn light on,./Images/IMG_1099.jpeg,./Images/IMG_1100.jpeg,indoor,LD-07,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
LD-08,Done,Room dark.,Is the protein powder label text clearly readable in this photo?,Is the label unreadable in this photo (too dark/low contrast)?,turn light on,./Images/IMG_0661.jpeg,./Images/IMG_0662.jpeg,indoor,LD-08,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-09,Done,Kitchen light off,Can you clearly see what is in the cupboard?,Can you clearly not see what is in the cupboard? (dim/glare),turn on light,./Images/IMG_0287.jpeg,./Images/IMG_0288.jpeg,indoor,LD-09,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}"
LD-10,Done,Far or glare makes text unclear.,Is the restaurant sign text clearly readable in this photo?,Is the restaurant sign text unreadable in this photo?,Change angle to avoid glare.,./Images/IMG_0616.jpeg,./Images/IMG_0617.jpeg,indoor,LD-10,"{""label"":""INHERENTLY_NONVISUAL"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""INHERENTLY_NONVISUAL"",""reason_code"":""AUGMENTED_VISION_REQUIRED"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
